dispnum3	incidnum3	version	ccode	c_ccode	change
4387	4387002	2.1	520	NA	Start Day changed to -9.
4387	4387003	2.1	530	NA	End Month changed to 1. End Year changed to 2007.
4387	4387003	2.1	520	NA	End Month changed to 1. End Year changed to 2007.
4390	4390001	2.1	625	NA	Fatality changed to -9 Missing.
4391	4391001	2.1	501	NA	Start Day changed to 9. End Day changed to 9. Action changed to 8 Alert .
4391	4391001	2.1	520	NA	Start Day changed to 9. End Day changed to 9.
4399	4399002	2.1	625	NA	Fatality changed to 1 1-25 deaths. Start Month changed to 1.
4401	4401003	2.1	530	NA	Start Day changed to -9.
4401	4401003	2.1	520	NA	Start Day changed to -9.
4401	4401004	2.1	530	NA	Action changed to 12 Border violation . Hostility Level changed to 3 Display of force.
4401	4401006	2.1	530	NA	Start Day changed to -9. End Day changed to -9.
4401	4401006	2.1	520	NA	Start Day changed to -9. End Day changed to -9.
4403	4403002	2.1	483	NA	Fatality changed to 0 None. Start Month changed to 0.
4403	4403003	2.1	483	NA	Fatality changed to 0 None. Start Month changed to 0.
4404	4404002	2.1	501	NA	Start Day changed to 12. End Day changed to 12.
4404	4404002	2.1	520	NA	Start Day changed to 12. End Day changed to 12.
4407	4407002	2.1	679	NA	Start Day changed to 27. End Month changed to 8. End Day changed to 30.
4407	4407002	2.1	531	NA	Start Day changed to 27. End Month changed to 8. End Day changed to 30.
4408	4408001	2.1	500	NA	Fatality changed to 0 None. Start Month changed to 0.
4410	4410001	2.1	640	NA	Drop incident. A news story providing evidence for this incident could not be found.
4410	4410001	2.1	350	NA	Drop incident. A news story providing evidence for this incident could not be found.
4410	4410002	2.1	640	NA	Drop incident. A news story providing evidence for this incident could not be found.
4410	4410002	2.1	352	NA	Drop incident. A news story providing evidence for this incident could not be found.
4411	4411001	2.1	365	NA	Drop incident. A news story providing evidence for this incident could not be found.
4411	4411001	2.1	373	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414030	2.1	371	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414030	2.1	373	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414038	2.1	371	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414038	2.1	373	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414040	2.1	371	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414040	2.1	373	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414053	2.1	371	NA	Action changed to 0 No militarized action . Hostility Level changed to 1 No militarized action.
4414	4414053	2.1	373	NA	Action changed to 16 Attack .
4414	4414054	2.1	371	NA	Fatality changed to 1 1-25 deaths. Start Month changed to 1.
4414	4414055	2.1	371	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4414	4414055	2.1	373	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4414	4414057	2.1	371	NA	Start Day changed to 17. End Day changed to 17. Action changed to 11 Fortify border .
4414	4414057	2.1	373	NA	Start Day changed to 17. End Day changed to 17.
4414	4414058	2.1	371	NA	Start Day changed to 11. End Day changed to 11.
4414	4414058	2.1	373	NA	Start Day changed to 11. End Day changed to 11.
4414	4414061	2.1	371	NA	Start Month changed to 11. Start Day changed to 2. End Month changed to 11. End Day changed to 2.
4414	4414061	2.1	373	NA	Start Month changed to 11. Start Day changed to 2. End Month changed to 11. End Day changed to 2.
4414	4414063	2.1	371	NA	Start Month changed to 10. End Month changed to 10.
4414	4414063	2.1	373	NA	Start Month changed to 10. End Month changed to 10.
4414	4414065	2.1	371	NA	Start Day changed to 17. End Day changed to 17.
4414	4414065	2.1	373	NA	Start Day changed to 17. End Day changed to 17.
4414	4414069	2.1	371	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414069	2.1	373	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414070	2.1	371	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414070	2.1	373	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414078	2.1	371	NA	Start Day changed to 9.
4414	4414078	2.1	373	NA	Start Day changed to 9.
4414	4414080	2.1	371	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414080	2.1	373	NA	Drop incident. A news story providing evidence for this incident could not be found.
4414	4414083	2.1	371	NA	Start Day changed to 23. End Day changed to 23.
4414	4414083	2.1	373	NA	Start Day changed to 23. End Day changed to 23.
4414	4414099	2.1	371	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4414	4414099	2.1	373	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4415	4415001	2.1	640	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4415	4415001	2.1	350	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4417	4417001	2.1	390	NA	Start Day changed to 25. End Day changed to 25.
4417	4417001	2.1	365	NA	Start Day changed to 25. End Day changed to 25.
4420	4420001	2.1	365	NA	Start Day changed to 27. End Day changed to 27.
4420	4420001	2.1	372	NA	Start Day changed to 27. End Day changed to 27.
4422	4422001	2.1	372	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4422	4422001	2.1	365	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4424	4424007	2.1	372	NA	Hostility Level changed to 4 Use of force.
4427	4427002	2.1	704	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4427	4427002	2.1	702	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4428	4428001	2.1	703	NA	Start Day changed to 21. End Day changed to 21.
4428	4428001	2.1	704	NA	Start Day changed to 21. End Day changed to 21.
4428	4428002	2.1	704	NA	Start Day changed to 21. End Day changed to 21.
4428	4428002	2.1	703	NA	Start Day changed to 21. End Day changed to 21.
4431	4431006	2.1	350	NA	End Day changed to 21.
4431	4431006	2.1	640	NA	End Day changed to 21.
4431	4431007	2.1	350	NA	Drop incident. A news story providing evidence for this incident could not be found.
4431	4431007	2.1	640	NA	Drop incident. A news story providing evidence for this incident could not be found.
4435	4435001	2.1	640	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4435	4435001	2.1	350	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4435	4435002	2.1	350	NA	Start Day changed to 26. End Day changed to 26.
4435	4435002	2.1	640	NA	Start Day changed to 26. End Day changed to 26.
4435	4435003	2.1	640	NA	Start Day changed to 26. End Day changed to 26.
4435	4435003	2.1	350	NA	Start Day changed to 26. End Day changed to 26.
4435	4435004	2.1	350	NA	Start Day changed to 6. End Day changed to 6.
4435	4435004	2.1	640	NA	Start Day changed to 6. End Day changed to 6.
4435	4435005	2.1	640	NA	Start Day changed to 6. End Day changed to 6.
4435	4435005	2.1	350	NA	Start Day changed to 6. End Day changed to 6.
4435	4435007	2.1	640	NA	Start Day changed to 13. End Day changed to 13.
4435	4435007	2.1	350	NA	Start Day changed to 13. End Day changed to 13.
4436	4436003	2.1	372	NA	Start Day changed to 21. End Day changed to 21.
4436	4436003	2.1	365	NA	Start Day changed to 21. End Day changed to 21.
4436	4436013	2.1	365	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4436	4436013	2.1	372	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4436	4436016	2.1	365	NA	Action changed to 12 Border violation .
4436	4436017	2.1	365	NA	End Day changed to 4.
4436	4436017	2.1	372	NA	End Day changed to 4.
4436	4436020	2.1	365	NA	End Day changed to 2. Action changed to 12 Border violation . Hostility Level changed to 3 Display of force.
4436	4436020	2.1	372	NA	End Day changed to 2.
4437	4437001	2.1	365	NA	Start Day changed to 26. End Day changed to 26.
4437	4437001	2.1	375	NA	Start Day changed to 26. End Day changed to 26.
4438	4438001	2.1	365	NA	Start Day changed to -9. End Day changed to -9.
4438	4438001	2.1	369	NA	Start Day changed to -9. End Day changed to -9.
4441	4441001	2.1	369	NA	Action changed to 7 Show of force .
4444	4444001	2.1	713	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4444	4444001	2.1	710	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4448	4448001	2.1	840	NA	Drop incident. A news story providing evidence for this incident could not be found.
4448	4448001	2.1	710	NA	Drop incident. A news story providing evidence for this incident could not be found.
4449	4449001	2.1	740	NA	End Day changed to 5.
4449	4449001	2.1	731	NA	End Day changed to 5.
4454	4454001	2.1	740	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4454	4454001	2.1	713	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4455	4455001	2.1	2	731	ccode changed to 731.
4455	4455001	2.1	731	732	ccode changed to 732.
4455	4455002	2.1	731	732	ccode changed to 732.
4455	4455002	2.1	2	731	ccode changed to 731.
4455	4455003	2.1	2	NA	Action changed to 8 Alert .
4455	4455004	2.1	2	NA	End Month changed to 4. End Day changed to 2.
4455	4455004	2.1	731	NA	End Month changed to 4. End Day changed to 2.
4456	4456001	2.1	740	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4456	4456001	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4457	4457002	2.1	740	NA	Action changed to 16 Attack . Hostility Level changed to 4 Use of force.
4457	4457003	2.1	740	NA	Action changed to 16 Attack . Hostility Level changed to 4 Use of force.
4465	4465001	2.1	2	NA	Drop incident. A news story providing evidence for this incident could not be found.
4465	4465001	2.1	731	NA	Drop incident. A news story providing evidence for this incident could not be found.
4465	4465002	2.1	2	NA	Drop incident. A news story providing evidence for this incident could not be found.
4465	4465002	2.1	731	NA	Drop incident. A news story providing evidence for this incident could not be found.
4465	4465003	2.1	2	NA	Start Day changed to -9. End Day changed to -9.
4465	4465003	2.1	731	NA	Start Day changed to -9. End Day changed to -9.
4466	4466001	2.1	710	NA	Start Day changed to -9. End Day changed to -9.
4466	4466001	2.1	731	NA	Start Day changed to -9. End Day changed to -9.
4467	4467002	2.1	740	NA	Action changed to 7 Show of force .
4470	4470001	2.1	713	NA	Start Day changed to 18. End Day changed to 18.
4470	4470001	2.1	740	NA	Start Day changed to 18. End Day changed to 18.
4478	4478003	2.1	710	NA	Start Day changed to 18.
4478	4478003	2.1	740	NA	Start Day changed to 18.
4483	4483013	2.1	731	NA	Start Day changed to 27. End Day changed to 28.
4483	4483013	2.1	732	NA	Start Day changed to 27. End Day changed to 28.
4483	4483014	2.1	732	NA	Start Day changed to 27. End Day changed to 27.
4483	4483014	2.1	731	NA	Start Day changed to 27. End Day changed to 27.
4483	4483015	2.1	732	NA	Start Day changed to 27. End Day changed to 27.
4483	4483015	2.1	731	NA	Start Day changed to 27. End Day changed to 27.
4483	4483016	2.1	732	NA	Drop incident. A news story providing evidence for this incident could not be found.
4483	4483016	2.1	731	NA	Drop incident. A news story providing evidence for this incident could not be found.
4483	4483017	2.1	731	NA	Start Day changed to 2. End Day changed to 2.
4483	4483017	2.1	732	NA	Start Day changed to 2. End Day changed to 2.
4483	4483018	2.1	732	NA	Start Day changed to 2. End Day changed to 2.
4483	4483018	2.1	731	NA	Start Day changed to 2. End Day changed to 2.
4483	4483019	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483019	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483023	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483023	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483025	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483025	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483026	2.1	731	NA	End Month changed to 9. Action changed to 0 No militarized action . Hostility Level changed to 1 No militarized action.
4483	4483026	2.1	732	NA	End Month changed to 9. Action changed to 7 Show of force . Hostility Level changed to 3 Display of force.
4483	4483027	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483027	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483030	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483030	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483031	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483031	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483034	2.1	732	NA	Start Day changed to 28. End Month changed to 12. End Day changed to 1.
4483	4483034	2.1	2	NA	Start Day changed to 28. End Month changed to 12. End Day changed to 1.
4483	4483034	2.1	731	NA	Start Day changed to 28. End Month changed to 12. End Day changed to 1.
4483	4483035	2.1	731	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483035	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4483	4483038	2.1	732	NA	End Day changed to 26.
4483	4483038	2.1	731	NA	End Day changed to 26.
4484	4484001	2.1	365	NA	Start Day changed to 29. End Day changed to 29.
4484	4484001	2.1	740	NA	Start Day changed to 29. End Day changed to 29.
4486	4486001	2.1	710	NA	Start Day changed to 8. End Day changed to 8.
4486	4486001	2.1	2	NA	Start Day changed to 8. End Day changed to 8.
4488	4488002	2.1	710	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4488	4488002	2.1	816	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4488	4488004	2.1	710	NA	Start Day changed to 11.
4488	4488004	2.1	816	NA	Start Day changed to 11.
4491	4491002	2.1	710	NA	Drop incident. A news story providing evidence for this incident could not be found.
4491	4491002	2.1	740	NA	Drop incident. A news story providing evidence for this incident could not be found.
4491	4491003	2.1	740	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4491	4491003	2.1	710	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4493	4493001	2.1	732	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4493	4493001	2.1	710	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4494	4494001	2.1	160	NA	Start Month changed to 6. Start Day changed to 13. End Month changed to 6. End Day changed to 13.
4494	4494001	2.1	365	NA	Start Month changed to 6. Start Day changed to 13. End Month changed to 6. End Day changed to 13.
4497	4497001	2.1	42	NA	End Day changed to 23.
4497	4497001	2.1	41	NA	End Day changed to 23.
4498	4498001	2.1	130	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4498	4498001	2.1	100	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4499	4499001	2.1	100	NA	Drop incident. A news story providing evidence for this incident could not be found.
4499	4499001	2.1	130	NA	Drop incident. A news story providing evidence for this incident could not be found.
4499	4499002	2.1	130	NA	Start Day changed to 1. End Day changed to 1. Action changed to 0 No militarized action .
4499	4499002	2.1	100	NA	Start Day changed to 1. End Day changed to 1. Action changed to 7 Show of force . Hostility Level changed to 3 Display of force.
4502	4502001	2.1	100	NA	Action changed to 16 Attack . Hostility Level changed to 4 Use of force.
4510	4510003	2.1	645	NA	Drop incident. A news story providing evidence for this incident could not be found.
4510	4510003	2.1	630	NA	Drop incident. A news story providing evidence for this incident could not be found.
4512	4512001	2.1	2	NA	Start Day changed to 21. End Day changed to 21.
4512	4512001	2.1	630	NA	Start Day changed to 21. End Day changed to 21.
4512	4512002	2.1	2	NA	Fatality changed to 0 None.
4514	4514001	2.1	630	NA	Fatality changed to 0 None. Start Month changed to 0.
4522	4522001	2.1	694	NA	Start Day changed to 10. End Day changed to 10.
4522	4522001	2.1	630	NA	Start Day changed to 10. End Day changed to 10.
4522	4522002	2.1	694	NA	Start Day changed to 10. End Day changed to 13.
4522	4522002	2.1	630	NA	Start Day changed to 10. End Day changed to 13.
4524	4524003	2.1	2	NA	Start Month changed to 12. Start Day changed to 30. Start Year changed to 2004. End Month changed to 12. End Day changed to 30. End Year changed to 2004.
4524	4524003	2.1	630	NA	Start Month changed to 12. Start Day changed to 30. Start Year changed to 2004. End Month changed to 12. End Day changed to 30. End Year changed to 2004.
4525	4525001	2.1	640	NA	Drop incident. A news story providing evidence for this incident could not be found.
4525	4525001	2.1	630	NA	Drop incident. A news story providing evidence for this incident could not be found.
4525	4525002	2.1	640	NA	Fatality changed to 1 1-25 deaths. Start Month changed to 1.
4526	4526001	2.1	651	NA	Fatality changed to 1 1-25 deaths. Start Month changed to 3.
4528	4528001	2.1	640	NA	Start Day changed to -9. End Day changed to -9.
4528	4528001	2.1	645	NA	Start Day changed to -9. End Day changed to -9.
4529	4529001	2.1	630	NA	Start Month changed to 8. Start Day changed to 4. End Month changed to 8. End Day changed to 4.
4529	4529001	2.1	645	NA	Start Month changed to 8. Start Day changed to 4. End Month changed to 8. End Day changed to 4.
4533	4533002	2.1	666	NA	Action changed to 12 Border violation . Hostility Level changed to 3 Display of force.
4533	4533013	2.1	666	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4533	4533013	2.1	660	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4533	4533020	2.1	666	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4533	4533020	2.1	660	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4533	4533021	2.1	666	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4533	4533021	2.1	660	NA	Drop incident. A review of news sources suggest this was not a militarized incident.
4533	4533027	2.1	666	NA	Start Day changed to 13. End Day changed to 13.
4533	4533027	2.1	660	NA	Start Day changed to 13. End Day changed to 13.
4533	4533029	2.1	666	NA	Drop incident. A news story providing evidence for this incident could not be found.
4533	4533029	2.1	660	NA	Drop incident. A news story providing evidence for this incident could not be found.
4533	4533030	2.1	660	NA	Action changed to 7 Show of force .
4535	4535002	2.1	2	NA	End Day changed to 28.
4535	4535002	2.1	630	NA	End Day changed to 28.
4536	4536005	2.1	630	NA	Start Day changed to 26.
4536	4536005	2.1	645	NA	Start Day changed to 26.
4536	4536008	2.1	630	NA	End Month changed to 5. End Day changed to 26.
4536	4536008	2.1	645	NA	End Month changed to 5. End Day changed to 26. Fatality changed to 1 1-25 deaths. Start Month changed to 1.
4536	4536011	2.1	630	NA	Start Day changed to 17. End Day changed to 17.
4536	4536011	2.1	645	NA	Start Day changed to 17. End Day changed to 17.
4536	4536012	2.1	630	NA	Start Day changed to 16. End Day changed to 16.
